ticker,exchange_suffix,name,sector,isin,euronext_symbol,mic,market_key,market,market_display,euronext_adn,url,source,source_date
4EL.MI,.MI,ESSILORLUXOTTICA,,FR0000121667,4EL,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ELE.MI,.MI,ENDESA,,ES0130670112,4ELE,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ELX.MI,.MI,ESTEE LAUDER COMP,,US5184391044,4ELX,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4EMR.MI,.MI,EMERSON ELECTRIC,,US2910111044,4EMR,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4EN.MI,.MI,BOUYGUES,,FR0000120503,4EN,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ENG.MI,.MI,ENAGAS,,ES0130960018,4ENG,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ENGI.MI,.MI,ENGIE,,FR0010208488,4ENGI,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ENR.MI,.MI,SIEMENS ENERGY,,DE000ENER6Y0,4ENR,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4EOAN.MI,.MI,E.ON,,DE000ENAG999,4EOAN,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ERF.MI,.MI,EUROFINS SCIENT,,FR0014000MR3,4ERF,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ERICB.MI,.MI,ERICSSON - CLASS B,,SE0000108656,4ERICB,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ES.MI,.MI,EVERSOURCE ENERGY,,US30040W1080,4ES,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ETSY.MI,.MI,ETSY,,US29786A1060,4ETSY,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4EUZ.MI,.MI,ECKERT & ZIEGLER,,DE0005659700,4EUZ,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4EVK.MI,.MI,EVONIK INDUSTRIES,,DE000EVNK013,4EVK,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4EVT.MI,.MI,EVOTEC,,DE0005664809,4EVT,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4EW.MI,.MI,EDWARDS LIFESCIENC,,US28176E1082,4EW,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4EXC.MI,.MI,EXELON,,US30161N1019,4EXC,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4EXPE.MI,.MI,EXPEDIA GROUP,,US30212P3038,4EXPE,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4F.MI,.MI,FORD MOTOR,,US3453708600,4F,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4FB.MI,.MI,META PLATFORMS,,US30303M1027,4FB,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4FCX.MI,.MI,FREEPORT-MCMORAN,,US35671D8570,4FCX,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4FDO.MI,.MI,MACYS,,US55616P1049,4FDO,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4FDX.MI,.MI,FEDEX,,US31428X1063,4FDX,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
