ticker,exchange_suffix,name,sector
ASA.OL,.OL,ATLANTIC SAPPHIRE,
ASC.MI,.MI,ASCOPIAVE,
ASCE.BR,.BR,ASCENCIO,
ASM.AS,.AS,ASM INTERNATIONAL,
ASML.AS,.AS,ASML HOLDING,
ASRNL.AS,.AS,ASR NEDERLAND,
ASY.PA,.PA,ASSYSTEM,
ATE.PA,.PA,ALTEN,
ATEA.OL,.OL,ATEA,
ATEB.BR,.BR,ATENOR,
ATEME.PA,.PA,ATEME,
ATLD.PA,.PA,ATLAND,
ATO.PA,.PA,ATOS,
ATON.MI,.MI,ATON GREEN STORAGE,
AUB.PA,.PA,AUBAY,
AUGR.PA,.PA,AUGROS COSMETIC,
AURE.PA,.PA,AUREA,
AURG.OL,.OL,AURSKOG SPAREBANK,
AUSS.OL,.OL,AUSTEVOLL SEAFOOD,
AUTME.MI,.MI,AUTOSTRADE MERID,
AUTO.OL,.OL,AUTOSTORE HOLDINGS,
AVIO.MI,.MI,AVIO,
AVT.PA,.PA,AVENIR TELECOM,
AVTX.AS,.AS,AVANTIUM,
AXS.AS,.AS,ACCSYS,
AYV.PA,.PA,AYVENS,
AZE.BR,.BR,AZELIS GROUP,
AZM.MI,.MI,AZIMUT,
AZRN.AS,.AS,AZERION,
AZT.OL,.OL,ARCTICZYMES TECHNO,
B.MI,.MI,BASTOGI SPA,
B2I.OL,.OL,B2 Impact,
BACE.AS,.AS,BM3EAC,
BAIN.PA,.PA,BAINS MER MONACO,
BAKKA.OL,.OL,BAKKAFROST,
BALT.OL,.OL,BALTIC SEA PROP,
BAMI.MI,.MI,BANCO BPM,
BAMNB.AS,.AS,BAM GROEP KON,
BAN.MI,.MI,BASICNET,
BANI.BR,.BR,BANIMMO A,
BANQ.BR,.BR,BANQUP GROUP,
BAR.BR,.BR,BARCO,
BARRA.OL,.OL,BARRAMUNDI GROUP,
BASS.PA,.PA,BASSAC,
BB.PA,.PA,BIC,
BC.MI,.MI,BRUNELLO CUCINELLI,
BCP.LS,.LS,B.COM.PORTUGUES,
BCS.OL,.OL,BERGEN CARBON SOL,
BDB.MI,.MI,BCO DESIO BRIANZA,
BEC.MI,.MI,B&C SPEAKERS,
BEKB.BR,.BR,BEKAERT,
BELL.MI,.MI,BELLINI NAUTICA,
BELYS.BR,.BR,BELYSSE GROUP,
BEN.PA,.PA,BENETEAU,
BES.MI,.MI,BESTBE HOLDING,
BESI.AS,.AS,BE SEMICONDUCTOR,
BEVER.AS,.AS,BEVER HOLDING,
BEWI.OL,.OL,BEWI,
BF.MI,.MI,BOLOGNAFIERE,
BFF.MI,.MI,BFF BANK,
BFG.MI,.MI,B.F.,
BFIT.AS,.AS,BASIC-FIT,
BGN.MI,.MI,BANCA GENERALI,
BIEN.OL,.OL,BIEN SPAREBANK,
BIG.PA,.PA,BIGBEN INTERACTIVE,
BIM.PA,.PA,BIOMERIEUX,
BINT.OL,.OL,BEWI INVEST,
BIOS.BR,.BR,BIOSENIC,
BIRG.IR,.IR,BANK OF IRELAND GP,
BLC.PA,.PA,BASTIDE LE CONFORT,
BLEE.PA,.PA,BLEECKER,
BMA.OL,.OL,BYGGMA,
BMED.MI,.MI,BANCA MEDIOLANUM,
BMPS.MI,.MI,BANCA MPS,
BN.PA,.PA,DANONE,
BNB.BR,.BR,BQUE NAT. BELGIQUE,
BNJ.AS,.AS,BANIJAY GROUP,
BNOR.OL,.OL,BLUENORD,
BNP.PA,.PA,BNP PARIBAS ACT.A,
BO.MI,.MI,BORGOSESIA,
BOI.PA,.PA,BOIRON,
BOL.PA,.PA,BOLLORE,
BON.PA,.PA,BONDUELLE,
BONHR.OL,.OL,BONHEUR,
BOR.OL,.OL,BORGESTAD,
BORR.OL,.OL,BORR DRILLING,
BOUV.OL,.OL,BOUVET,
BPE.MI,.MI,BPER BANCA,
BPOST.BR,.BR,BPOST,
BRE.MI,.MI,BREMBO,
BREB.BR,.BR,BREDERODE,
BRG.OL,.OL,BORREGAARD,
BRI.MI,.MI,BRIOSCHI,
BRM.MI,.MI,BRAGA MORO,
BRNL.AS,.AS,BRUNEL INTERNAT,
BRUT.OL,.OL,BRUTON,
BSD.PA,.PA,BOURSE DIRECT,
BSP.OL,.OL,BLACK SEA PROPERTY,
BSS.MI,.MI,BIESSE,
BST.MI,.MI,BANCA SISTEMA,
BTLS.BR,.BR,BIOTALYS,
BUI.PA,.PA,BARBARA BUI,
BUR.PA,.PA,BURELLE,
BVI.PA,.PA,BUREAU VERITAS,
BWE.OL,.OL,BW ENERGY LIMITED,
BWLPG.OL,.OL,BW LPG,
BWO.OL,.OL,BW OFFSHORE LTD,
BWZ.MI,.MI,BEEWIZE,
BZU.MI,.MI,BUZZI,
C5H.IR,.IR,CAIRN HOMES PLC,
CA.PA,.PA,CARREFOUR,
